valor,tempo_lista_ns,tempo_dict_ns
4943459,100,800
1869882,100,1000
6570164,100,900
3388527,100,1000
4890141,200,800
565116,200,900
6666253,100,600
1738088,100,900
2000701,100,700
5568706,100,900
1325472,200,800
4127856,200,800
1659478,100,1100
993229,200,800
6130085,100,800
4958432,100,1000
3844911,100,800
3977006,200,600
2621916,200,800
3206206,100,800
5786146,100,900
2742761,100,700
1594290,100,900
549253,100,1100
3784891,100,600
4252672,100,700
5013745,100,900
1845493,100,1300
1551105,100,800
6285831,100,800
896130,100,1000
5671991,100,900
2093986,100,1000
2239771,100,900
5708492,100,400
6579790,100,900
1048195,100,800
5880575,200,700
6845815,100,900
5808483,200,600
4547566,100,800
1299326,100,900
4844290,100,1000
4033822,100,800
392447,100,1300
4731141,100,900
1403110,200,900
4845477,200,500
4038989,100,500
510204,100,1100
4237939,100,900
5490706,100,1200
2889054,200,1000
3722921,100,800
3540728,100,1000
4479848,100,600
4841365,200,800
6870927,100,600
6688863,100,700
6235785,200,900
3121234,300,800
4633569,200,900
452186,200,1100
2133337,300,1100
2907974,200,1000
4026122,100,800
1398627,100,1000
311951,200,1100
4643318,200,400
2794790,100,1200
2265831,100,900
2572316,100,1300
664255,200,1000
4356435,200,700
3416034,200,700
6556679,100,800
4571286,100,800
863186,200,1100
141502,200,900
6895975,100,600
5454134,200,1000
3280172,100,900
6027639,100,600
5217622,100,900
6616746,200,1200
4371619,200,900
2459877,200,1400
2835821,200,1200
6480710,200,900
3535269,100,500
6758922,200,700
2960121,200,800
4543660,100,800
2817946,300,1000
5605785,100,800
1155521,100,1200
2853911,100,1200
4940856,100,1200
2334536,100,1500
3324703,100,900
1872902,100,700
6142990,200,800
835489,200,900
6896365,100,500
3187261,100,900
3396881,100,700
5698685,100,800
1934652,100,1000
3634695,100,900
6729645,100,800
2532722,100,1100
5713506,200,700
6013394,100,700
3940663,100,800
6802138,100,700
6550518,100,600
2917364,200,900
5399984,100,900
5858307,100,800
4405412,100,600
6926881,100,1000
4146591,100,700
800366,200,700
2785595,100,1000
3894042,100,700
2732853,200,700
1999521,100,700
2213888,100,1100
2771677,100,800
3184635,100,600
5983742,100,500
2079806,100,700
3618108,100,500
6349067,100,700
3458695,200,700
5951874,200,800
3881227,100,700
4903111,100,900
1440743,100,1200
3900315,100,500
4277901,100,900
5044061,100,700
3996824,100,900
3520594,100,600
6437309,100,900
3146321,200,800
6575882,100,600
5766855,200,800
5746139,100,800
4165526,100,1000
6274810,100,600
2760907,100,1100
2194071,100,900
5687542,100,700
5025699,100,500
983500,100,1200
